id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
75,"Video: Kemendikdasmen Bikin Program Instruktur Naik Kelas, Apa Itu?",,Pendidikan,video kemendikdasmen bikin program instruktur kelas,video kemendikdasmen bikin program instruktur kelas,video kemendikdasmen bikin program instruktur kelas,video kemendikdasmen bikin program instruktur kelas,"['video', 'kemendikdasmen', 'bikin', 'program', 'instruktur', 'kelas']"
76,Video Alasan Guru Pandeglang Karaoke di Sekolah: Coba TV Bantuan Pemerintah,,Pendidikan,video alasan guru pandeglang karaoke sekolah coba tv bantuan pemerintah,video alasan guru pandeglang karaoke sekolah coba tv bantuan pemerintah,video alasan guru pandeglang karaoke sekolah coba tv bantuan pemerintah,video alas guru pandeglang karaoke sekolah coba tv bantu perintah,"['video', 'alas', 'guru', 'pandeglang', 'karaoke', 'sekolah', 'coba', 'tv', 'bantu', 'perintah']"
77,Infografis: Ternyata Lulusan Terbanyak di Indonesia dari Bidang Ini!,,Pendidikan,infografis lulusan indonesia bidang,infografis lulusan indonesia bidang,infografis lulusan indonesia bidang,infografis lulus indonesia bidang,"['infografis', 'lulus', 'indonesia', 'bidang']"
78,"Beragam Cara Mahasiswa Pakai AI, Brainstorming Tugas-Curhat",,Pendidikan,beragam mahasiswa pakai ai brainstorming,beragam mahasiswa pakai ai brainstorming,beragam mahasiswa pakai ai brainstorming,agam mahasiswa pakai ai brainstorming,"['agam', 'mahasiswa', 'pakai', 'ai', 'brainstorming']"
79,Video Tambah Tahu: Makna Nasionalisme di Balik Bendera Setengah Tiang 30 September,,Pendidikan,video makna nasionalisme bendera tiang september,video makna nasionalisme bendera tiang september,video makna nasionalisme bendera tiang september,video makna nasionalisme bendera tiang september,"['video', 'makna', 'nasionalisme', 'bendera', 'tiang', 'september']"
80,"Perbedaan Hari Kesaktian Pancasila dan Hari Lahir Pancasila, Simak Sejarahnya!",,Pendidikan,perbedaan kesaktian pancasila lahir pancasila simak sejarahnya,perbedaan kesaktian pancasila lahir pancasila simak sejarahnya,perbedaan kesaktian pancasila lahir pancasila simak sejarahnya,beda sakti pancasila lahir pancasila simak sejarah,"['beda', 'sakti', 'pancasila', 'lahir', 'pancasila', 'simak', 'sejarah']"
81,"10 Negara dengan Kebebasan Pers Terbaik di Dunia, Indonesia Nomor Berapa?",,Pendidikan,negara kebebasan pers terbaik dunia indonesia nomor,negara kebebasan pers terbaik dunia indonesia nomor,negara kebebasan pers terbaik dunia indonesia nomor,negara bebas pers baik dunia indonesia nomor,"['negara', 'bebas', 'pers', 'baik', 'dunia', 'indonesia', 'nomor']"
82,"20 Contoh Soal dan Jawaban TKA SMA 2025 Bahasa Indonesia Wajib, Kerjakan Yuk!",,Pendidikan,contoh tka sma bahasa indonesia wajib kerjakan yuk,contoh tka sma bahasa indonesia wajib kerjakan yuk,contoh tka sma bahasa indonesia wajib kerjakan yuk,contoh tka sma bahasa indonesia wajib kerja yuk,"['contoh', 'tka', 'sma', 'bahasa', 'indonesia', 'wajib', 'kerja', 'yuk']"
83,"Cerita Nasywa Terpilih Google Student Ambassador 2025, Sisihkan 12 Ribu Pelamar",,Pendidikan,cerita nasywa terpilih google student ambassador sisihkan ribu pelamar,cerita nasywa terpilih google student ambassador sisihkan ribu pelamar,cerita nasywa terpilih google student ambassador sisihkan ribu pelamar,cerita nasywa pilih google student ambassador sisih ribu lamar,"['cerita', 'nasywa', 'pilih', 'google', 'student', 'ambassador', 'sisih', 'ribu', 'lamar']"
84,"20 Contoh Soal TKA SMA 2025: Bahasa Indonesia, Matematika, dan Bahasa Inggris Wajib",,Pendidikan,contoh tka sma bahasa indonesia matematika bahasa inggris wajib,contoh tka sma bahasa indonesia matematika bahasa inggris wajib,contoh tka sma bahasa indonesia matematika bahasa inggris wajib,contoh tka sma bahasa indonesia matematika bahasa inggris wajib,"['contoh', 'tka', 'sma', 'bahasa', 'indonesia', 'matematika', 'bahasa', 'inggris', 'wajib']"
85,"Cuaca Pekan Ini: Banyak yang Dilanda Hujan karena Siklon Bualoi, Cek Wilayahmu!",,Pendidikan,cuaca pekan dilanda hujan siklon bualoi cek wilayahmu,cuaca pekan dilanda hujan siklon bualoi cek wilayahmu,cuaca pekan dilanda hujan siklon bualoi cek wilayahmu,cuaca pekan landa hujan siklon bualoi cek wilayah,"['cuaca', 'pekan', 'landa', 'hujan', 'siklon', 'bualoi', 'cek', 'wilayah']"
86,"Dukung MBG, Kemendikdasmen Siapkan Balai di 16 Provinsi Jadi Kantor PPG",,Pendidikan,dukung mbg kemendikdasmen siapkan balai provinsi kantor ppg,dukung mbg kemendikdasmen siapkan balai provinsi kantor ppg,dukung mbg kemendikdasmen siapkan balai provinsi kantor ppg,dukung mbg kemendikdasmen siap balai provinsi kantor ppg,"['dukung', 'mbg', 'kemendikdasmen', 'siap', 'balai', 'provinsi', 'kantor', 'ppg']"
87,Adakah Libur Nasional Bulan Oktober 2025? Begini Peraturannya,,Pendidikan,adakah libur nasional oktober peraturannya,adakah libur nasional oktober peraturannya,adakah libur nasional oktober peraturannya,ada libur nasional oktober atur,"['ada', 'libur', 'nasional', 'oktober', 'atur']"
88,"Cara Daftar Tes Kemampuan Akademik (TKA), Murid Harus Persiapkan Hal Ini!",,Pendidikan,daftar tes kemampuan akademik tka murid persiapkan,daftar tes kemampuan akademik tka murid persiapkan,daftar tes kemampuan akademik tka murid persiapkan,daftar tes mampu akademik tka murid siap,"['daftar', 'tes', 'mampu', 'akademik', 'tka', 'murid', 'siap']"
89,"Mapel Pilihan TKA Tak Ada Informatika hingga Seni, Kemendikdasmen Respons Begini",,Pendidikan,mapel pilihan tka informatika seni kemendikdasmen respons,mapel pilihan tka informatika seni kemendikdasmen respons,mapel pilihan tka informatika seni kemendikdasmen respons,mapel pilih tka informatika seni kemendikdasmen respons,"['mapel', 'pilih', 'tka', 'informatika', 'seni', 'kemendikdasmen', 'respons']"
90,Google Pilih 800 Google Student Ambassador 2025 untuk Bantu Mahasiswa Belajar AI,,Pendidikan,google pilih google student ambassador bantu mahasiswa belajar ai,google pilih google student ambassador bantu mahasiswa belajar ai,google pilih google student ambassador bantu mahasiswa belajar ai,google pilih google student ambassador bantu mahasiswa ajar ai,"['google', 'pilih', 'google', 'student', 'ambassador', 'bantu', 'mahasiswa', 'ajar', 'ai']"
91,Kapan TKA SMA 2025? Cek Jadwal Resmi dari Kemendikdasmen,,Pendidikan,tka sma cek jadwal resmi kemendikdasmen,tka sma cek jadwal resmi kemendikdasmen,tka sma cek jadwal resmi kemendikdasmen,tka sma cek jadwal resmi kemendikdasmen,"['tka', 'sma', 'cek', 'jadwal', 'resmi', 'kemendikdasmen']"
92,Video: Draf Final RUU Sisdiknas Siap Dipaparkan ke Publik Besok,,Pendidikan,video draf final ruu sisdiknas dipaparkan publik besok,video draf final ruu sisdiknas dipaparkan publik besok,video draf final ruu sisdiknas dipaparkan publik besok,video draf final ruu sisdiknas papar publik besok,"['video', 'draf', 'final', 'ruu', 'sisdiknas', 'papar', 'publik', 'besok']"
93,"Selamat Hari Sarjana Nasional 2025, Ini Sarjana Pertama di Indonesia!",,Pendidikan,selamat sarjana nasional sarjana indonesia,selamat sarjana nasional sarjana indonesia,selamat sarjana nasional sarjana indonesia,selamat sarjana nasional sarjana indonesia,"['selamat', 'sarjana', 'nasional', 'sarjana', 'indonesia']"
94,"Kronologi G30S PKI: Sejarah Singkat, Latar Belakang, dan Awal Lahirnya Orde Baru",,Pendidikan,kronologi pki sejarah singkat latar lahirnya orde,kronologi pki sejarah singkat latar lahirnya orde,kronologi pki sejarah singkat latar lahirnya orde,kronologi pki sejarah singkat latar lahir orde,"['kronologi', 'pki', 'sejarah', 'singkat', 'latar', 'lahir', 'orde']"
95,"Hari Pertama MPLS, Siswa Baru SR Terintegrasi 70 Mulai Masuk Asrama",,Pendidikan,mpls siswa sr terintegrasi masuk asrama,mpls siswa sr terintegrasi masuk asrama,mpls siswa sr terintegrasi masuk asrama,mpls siswa sr integrasi masuk asrama,"['mpls', 'siswa', 'sr', 'integrasi', 'masuk', 'asrama']"
96,"Lebih Dari 2,5 Juta Murid Sudah Daftar TKA, Registrasi Ditutup 5 Oktober 2025",,Pendidikan,juta murid daftar tka registrasi ditutup oktober,juta murid daftar tka registrasi ditutup oktober,juta murid daftar tka registrasi ditutup oktober,juta murid daftar tka registrasi tutup oktober,"['juta', 'murid', 'daftar', 'tka', 'registrasi', 'tutup', 'oktober']"
97,"Bantuan Kuliah S1-S3 Baznas & PP Muhammadiyah, Mulai dari Rp 5 Juta",,Pendidikan,bantuan kuliah baznas pp muhammadiyah rp juta,bantuan kuliah baznas pp muhammadiyah rp juta,bantuan kuliah baznas pp muhammadiyah rp juta,bantu kuliah baznas pp muhammadiyah rp juta,"['bantu', 'kuliah', 'baznas', 'pp', 'muhammadiyah', 'rp', 'juta']"
98,Ternyata Ada Bakteri Salmonella di Sampel Makanan Program MBG di Bandung Barat,,Pendidikan,bakteri salmonella sampel makanan program mbg bandung barat,bakteri salmonella sampel makanan program mbg bandung barat,bakteri salmonella sampel makanan program mbg bandung barat,bakteri salmonella sampel makan program mbg bandung barat,"['bakteri', 'salmonella', 'sampel', 'makan', 'program', 'mbg', 'bandung', 'barat']"
99,"JPPI Ungkap 3 Masalah Fundamental MBG, Apa Saja?",,Pendidikan,jppi fundamental mbg,jppi fundamental mbg,jppi fundamental mbg,jppi fundamental mbg,"['jppi', 'fundamental', 'mbg']"
100,Apakah Mapel Pilihan TKA Bisa Diganti? Kemendikdasmen Bilang Begini,,Pendidikan,mapel pilihan tka diganti kemendikdasmen bilang,mapel pilihan tka diganti kemendikdasmen bilang,mapel pilihan tka diganti kemendikdasmen bilang,mapel pilih tka ganti kemendikdasmen bilang,"['mapel', 'pilih', 'tka', 'ganti', 'kemendikdasmen', 'bilang']"
101,"Menurut Studi, Dua Pertiga Perilaku Sehari-hari Kita Ternyata Autopilot",,Pendidikan,studi pertiga perilaku autopilot,studi pertiga perilaku autopilot,studi pertiga perilaku autopilot,studi tiga perilaku autopilot,"['studi', 'tiga', 'perilaku', 'autopilot']"
102,"Ternyata Tertawa Itu Memang Menular, Ini Penjelasan Ilmiahnya",,Pendidikan,tertawa menular penjelasan ilmiahnya,tertawa menular penjelasan ilmiahnya,tertawa menular penjelasan ilmiahnya,tertawa tular jelas ilmiah,"['tertawa', 'tular', 'jelas', 'ilmiah']"
103,"Kepala BGN Dipanggil Prabowo, Diminta Cegah Keracunan MBG dengan 4 Langkah Ini",,Pendidikan,kepala bgn dipanggil prabowo cegah keracunan mbg langkah,kepala bgn dipanggil prabowo cegah keracunan mbg langkah,kepala bgn dipanggil prabowo cegah keracunan mbg langkah,kepala bgn panggil prabowo cegah racun mbg langkah,"['kepala', 'bgn', 'panggil', 'prabowo', 'cegah', 'racun', 'mbg', 'langkah']"
104,"5 Masalah yang Hanya Dimiliki Orang-orang Cerdas, Kamu Mengalami?",,Pendidikan,dimiliki cerdas mengalami,dimiliki cerdas mengalami,dimiliki cerdas mengalami,milik cerdas alami,"['milik', 'cerdas', 'alami']"
105,"Pakar Ungkap Dilema Program Magang Nasional: Bantu Fresh Graduate, Tapi...",,Pendidikan,pakar dilema program magang nasional bantu fresh graduate,pakar dilema program magang nasional bantu fresh graduate,pakar dilema program magang nasional bantu fresh graduate,pakar dilema program magang nasional bantu fresh graduate,"['pakar', 'dilema', 'program', 'magang', 'nasional', 'bantu', 'fresh', 'graduate']"
106,"Lowongan Magang Bakti BCA untuk SMA/SMK hingga S1, Ini Syarat IPK-nya",,Pendidikan,lowongan magang bakti bca syarat,lowongan magang bakti bca syarat,lowongan magang bakti bca syarat,lowong magang bakti bca syarat,"['lowong', 'magang', 'bakti', 'bca', 'syarat']"
107,"Rekrutmen Relawan Pajak 2025 Dibuka, Mahasiswa Ayo Daftar!",,Pendidikan,rekrutmen relawan pajak dibuka mahasiswa ayo daftar,rekrutmen relawan pajak dibuka mahasiswa ayo daftar,rekrutmen relawan pajak dibuka mahasiswa ayo daftar,rekrutmen rawan pajak buka mahasiswa ayo daftar,"['rekrutmen', 'rawan', 'pajak', 'buka', 'mahasiswa', 'ayo', 'daftar']"
108,Video: Deretan Fun Fact Sosok BJ Habibie yang Jarang Diketahui,,Pendidikan,video deretan fun fact sosok bj habibie jarang,video deretan fun fact sosok bj habibie jarang,video deretan fun fact sosok bj habibie jarang,video deret fun fact sosok bj habibie jarang,"['video', 'deret', 'fun', 'fact', 'sosok', 'bj', 'habibie', 'jarang']"
109,Serba-serbi Seleksi Administrasi PPG Guru Tertentu: Biaya hingga Batas Pendaftaran,,Pendidikan,seleksi administrasi ppg guru biaya batas pendaftaran,seleksi administrasi ppg guru biaya batas pendaftaran,seleksi administrasi ppg guru biaya batas pendaftaran,seleksi administrasi ppg guru biaya batas daftar,"['seleksi', 'administrasi', 'ppg', 'guru', 'biaya', 'batas', 'daftar']"
110,"Beasiswa AI IDCamp 2025 Dibuka, Kuota 100.000 Akses Belajar Gratis",,Pendidikan,beasiswa ai idcamp dibuka kuota akses belajar gratis,beasiswa ai idcamp dibuka kuota akses belajar gratis,beasiswa ai idcamp dibuka kuota akses belajar gratis,beasiswa ai idcamp buka kuota akses ajar gratis,"['beasiswa', 'ai', 'idcamp', 'buka', 'kuota', 'akses', 'ajar', 'gratis']"
111,"Galeri Nasional Bagi-bagi Tiket Gratis Masuk Museum untuk 7 Golongan, Cek!",,Pendidikan,galeri nasional tiket gratis masuk museum golongan cek,galeri nasional tiket gratis masuk museum golongan cek,galeri nasional tiket gratis masuk museum golongan cek,galeri nasional tiket gratis masuk museum golong cek,"['galeri', 'nasional', 'tiket', 'gratis', 'masuk', 'museum', 'golong', 'cek']"
112,Puluhan Guru Besar ITB Lari 180 Km Jakarta-Bandung untuk Galang Dana Beasiswa-Riset,,Pendidikan,puluhan guru itb lari km galang dana,puluhan guru itb lari km galang dana,puluhan guru itb lari km galang dana,puluh guru itb lari km galang dana,"['puluh', 'guru', 'itb', 'lari', 'km', 'galang', 'dana']"
113,"Pendaftaran BPI 2025 Diperpanjang hingga 29 September, Cek Lagi Syaratnya!",,Pendidikan,pendaftaran bpi diperpanjang september cek syaratnya,pendaftaran bpi diperpanjang september cek syaratnya,pendaftaran bpi diperpanjang september cek syaratnya,daftar bpi panjang september cek syarat,"['daftar', 'bpi', 'panjang', 'september', 'cek', 'syarat']"
114,"Banyak Kasus Keracunan MBG di Sekolah, Begini Respons Presiden Prabowo",,Pendidikan,keracunan mbg sekolah respons presiden prabowo,keracunan mbg sekolah respons presiden prabowo,keracunan mbg sekolah respons presiden prabowo,racun mbg sekolah respons presiden prabowo,"['racun', 'mbg', 'sekolah', 'respons', 'presiden', 'prabowo']"
115,"Tips Sukses buat Esai Beasiswa: Harus Jujur, Personal, dan Bikin 'Malu'",,Pendidikan,tips sukses esai beasiswa jujur personal bikin,tips sukses esai beasiswa jujur personal bikin,tips sukses esai beasiswa jujur personal bikin,tips sukses esai beasiswa jujur personal bikin,"['tips', 'sukses', 'esai', 'beasiswa', 'jujur', 'personal', 'bikin']"
116,Jangan Asal! Ini Pentingnya Berpikir Kritis Sebelum Pilih Kampus,,Pendidikan,berpikir kritis pilih kampus,berpikir kritis pilih kampus,berpikir kritis pilih kampus,pikir kritis pilih kampus,"['pikir', 'kritis', 'pilih', 'kampus']"
117,"Kini, Daftar Beasiswa LPDP Afirmasi Dalam Negeri Tak Perlu Lagi Sertifikat Bahasa Inggris",,Pendidikan,daftar beasiswa lpdp afirmasi negeri sertifikat bahasa inggris,daftar beasiswa lpdp afirmasi negeri sertifikat bahasa inggris,daftar beasiswa lpdp afirmasi negeri sertifikat bahasa inggris,daftar beasiswa lpdp afirmasi negeri sertifikat bahasa inggris,"['daftar', 'beasiswa', 'lpdp', 'afirmasi', 'negeri', 'sertifikat', 'bahasa', 'inggris']"
118,"Beasiswa LPDP 2026 Buka Kuota 4.000 Mahasiswa, Bidang STEM Diprioritaskan",,Pendidikan,beasiswa lpdp buka kuota mahasiswa bidang stem diprioritaskan,beasiswa lpdp buka kuota mahasiswa bidang stem diprioritaskan,beasiswa lpdp buka kuota mahasiswa bidang stem diprioritaskan,beasiswa lpdp buka kuota mahasiswa bidang stem prioritas,"['beasiswa', 'lpdp', 'buka', 'kuota', 'mahasiswa', 'bidang', 'stem', 'prioritas']"
119,Mitos atau Fakta: Benarkah Kumis Kucing Terhubung ke Indra Penciuman?,,Pendidikan,mitos fakta kumis kucing terhubung indra penciuman,mitos fakta kumis kucing terhubung indra penciuman,mitos fakta kumis kucing terhubung indra penciuman,mitos fakta kumis kucing hubung indra cium,"['mitos', 'fakta', 'kumis', 'kucing', 'hubung', 'indra', 'cium']"
120,Keren! 14 Dosen UGM Masuk Daftar Ilmuwan 2% Teratas Dunia Versi Stanford,,Pendidikan,keren dosen ugm masuk daftar ilmuwan teratas dunia versi stanford,keren dosen ugm masuk daftar ilmuwan teratas dunia versi stanford,keren dosen ugm masuk daftar ilmuwan teratas dunia versi stanford,keren dosen ugm masuk daftar ilmuwan atas dunia versi stanford,"['keren', 'dosen', 'ugm', 'masuk', 'daftar', 'ilmuwan', 'atas', 'dunia', 'versi', 'stanford']"
121,"Kisah Kesaksian Sukitman, Pemberi Petunjuk Lokasi Korban G30S PKI",,Pendidikan,kisah kesaksian sukitman pemberi petunjuk lokasi korban pki,kisah kesaksian sukitman pemberi petunjuk lokasi korban pki,kisah kesaksian sukitman pemberi petunjuk lokasi korban pki,kisah saksi sukitman beri tunjuk lokasi korban pki,"['kisah', 'saksi', 'sukitman', 'beri', 'tunjuk', 'lokasi', 'korban', 'pki']"
122,"3 Fenomena Astronomi yang Bakal Hiasi Langit Oktober 2025, Jangan Terlewat Ya!",,Pendidikan,fenomena astronomi hiasi langit oktober terlewat ya,fenomena astronomi hiasi langit oktober terlewat ya,fenomena astronomi hiasi langit oktober terlewat ya,fenomena astronomi hias langit oktober lewat ya,"['fenomena', 'astronomi', 'hias', 'langit', 'oktober', 'lewat', 'ya']"
123,"10 Negara Paling Inovatif di Asia, Indonesia Kalah dari Malaysia",,Pendidikan,negara inovatif asia indonesia kalah malaysia,negara inovatif asia indonesia kalah malaysia,negara inovatif asia indonesia kalah malaysia,negara inovatif asia indonesia kalah malaysia,"['negara', 'inovatif', 'asia', 'indonesia', 'kalah', 'malaysia']"
124,Siapa Penemu HP? Ini Sejarah Awal dan Ponsel Pertama yang Diciptakan,,Pendidikan,penemu hp sejarah ponsel diciptakan,penemu hp sejarah ponsel diciptakan,penemu hp sejarah ponsel diciptakan,temu hp sejarah ponsel cipta,"['temu', 'hp', 'sejarah', 'ponsel', 'cipta']"
125,Tujuan dan Kegunaan Tes Kemampuan Akademik (TKA) untuk Jenjang SD sampai SMA,,Pendidikan,tujuan kegunaan tes kemampuan akademik tka jenjang sd sma,tujuan kegunaan tes kemampuan akademik tka jenjang sd sma,tujuan kegunaan tes kemampuan akademik tka jenjang sd sma,tuju guna tes mampu akademik tka jenjang sd sma,"['tuju', 'guna', 'tes', 'mampu', 'akademik', 'tka', 'jenjang', 'sd', 'sma']"
126,Kedatangan Bangsa Belanda ke Indonesia: Sejarah & Latar Belakang dari VOC-Penjajahan,,Pendidikan,kedatangan bangsa belanda indonesia sejarah latar,kedatangan bangsa belanda indonesia sejarah latar,kedatangan bangsa belanda indonesia sejarah latar,datang bangsa belanda indonesia sejarah latar,"['datang', 'bangsa', 'belanda', 'indonesia', 'sejarah', 'latar']"
127,Terbatas! Promo Early Bird Kelas Sertifikasi BNSP RI Hanya di detikevent,,Pendidikan,terbatas promo early bird kelas sertifikasi bnsp ri detikevent,terbatas promo early bird kelas sertifikasi bnsp ri detikevent,terbatas promo early bird kelas sertifikasi bnsp ri detikevent,batas promo early bird kelas sertifikasi bnsp ri detikevent,"['batas', 'promo', 'early', 'bird', 'kelas', 'sertifikasi', 'bnsp', 'ri', 'detikevent']"
